Comedy,Thriller,Action,Rom-Com,Drama,Critically Acclaimed,MindFuck,Fantasy/Sci Fi,Animated,Mystery,Biopic,B-Romantic/drama,BollyFeels,B-Action/Thriller,B-Biopics,B-Critcally Acclaimed,B-Comedy
Superbad 2,John Wick,Bourne Series,Crazy Rich Asians,Marriage story ,Inglorious Bastards,Transendence,Harry Potter,Scooby Doo,Sherlock BBC & Movie,Steve Jobs / Jobs,Dil Dhadakne Do,Hindi Medium/Angrezi Medium,Badla,Sky is pink ,Highway,Hera Pheri Franchaise 
Hustlers,Get Out,Mission Impossible,Last Christmas,Schindler's List,Good Will Hunting,Eternal Sunshine of the Spotless Mind,Lord Of the Rings,Detective Pikachu,,the theory of everything ,Ye Jawani Ye Deewani ,ZNMD,Uri,Super 30,Rockstar ,Andhaz apna apna 
Ted,MA,FF,"Crazy, Stupid, Love",Call Me By Your Name,Shawshank Redemption,Split,Star Wars,Kung Fu Panda,,man who knew infinity ,Raazi ,Wake up Sid ,A Wednesday ,Dangal ,Swades ,Stree
Project X,Train To Busan,John Wick Trilogy ,Friends With Benefits,Her,Moonlight,Fight Club,Star Trek,Alladin,,Lincoln ,Rajkumar Hirani Films ,Baadhai ho ,Malang,Saand Ki Aaank ,Lagaan ,De Dana Dan
Rush hour ,Sicario,James Bond,To all the Boys I've ever loved,Lady Bird,Little Women,Matrix ,300 BC,Inside Out,,The Imitation Game,Thappad,Dil Chata Hai ,Kahani,Chapakk ,Udta Punjab ,Welcome
The Terminal,Don't Breathe,Air Force One,Have I Ever ,Pursuit of Happiness,Spotlight,The Prestige,divergent ,,,,TAMASHA (MUST WATCH),Piku,Mardhaani ,Padmavat,Haider ,Good Newwzz
Harold and Kumar,Murder on The Orient Express,Transporter series,Aloha,Whiplash,Memento ,Ex-Machina,Venom,,,,Dear Zindhegi,Chichore ,Talaash ,Baajirao Mastani ,Gully boy ,Go Goa Gone
School of Rock,I am Legend,Salt,Me Before You,Devil Wears Prada,Birdman,Get Out,Hunger Games,,,,Manmarziyan ,Bala ,Mom,,Dil se,Golmaal
Hangover,Seven ,Ocean's 11 12 13 8,,The Intern,Three Billboards outside Ebbing Missourri,,Passengers,,,,Masaan ,Subh Mangal Savdhan ,Gabbar is back ,,Guru ,
Hustlers,Uncut gems ,Mr and Mrs Smith,,Easy A,The Godfather,,Ready Player One,,,,Lakshya ,Subh mangal zyadha Savdhan ,Kaabil ,,My name is Khan ,
Parasite,The interview (1998),Ad Astra,,American Hustle,Irishman,,2001: A Space Odyssey,,,,October ,Barely Ki Barfi ,Special 26,,Gangs of Waasepur 1&2,
,the Lincoln lawyer ,Zero Dark 30,,Silver Linings Playbook,The Pianist,,Divergent ,,,,Mulk ,Jagga Jasoos ,Baby,,,
,Red Sparrow,Miss Sloane,,Joy,the grand budapest hotel ,,Pirates of the Carribean series,,,,Barfi ,Photograph ,Rustom,,,
,Bridge of Spies,Sicario,,Million Dollar Baby,1918,,,,,,Jab we met ,lunch box ,LOC Kargil ,,,
,Mother!,American Sniper,,Seven Years in Tibet,Dunkirk,,,,,,Raanjhana ,Kapoor and Sons,Bavesh Joshi ,,,
,Catch me if you can,,,Edge of Seventeen,Forest Gump,,,,,,"Water, Earth & Fire (Deepa mehta Trilogy)",102 Not Out,Teen,,,
,Black Swan,,,TWOWS,12 Years A Slave,,,,,,,Gulaboo Sitabo ,Laal Kaptaan ,,,
,Sully,,,Curious Case of Benjamin Button,Les Miserable,,,,,,,Paa,Omkara,,,
,Apollo13 ,,,,,,,,,,,ChopSticks,The Ghaazi Attack,,,
,Gone Girl,,,,,,,,,,,Kaarwan ,,,,
,The Departed ,,,,,,,,,,,,,,,
